かご（金属製）,家庭金物,50センチメートル以上は粗大ごみ。
かご（木製・プラスチック製）,燃やすごみ,
傘（骨組が金属製以外のもの）,指定品目,5本まで指定ごみ袋（大きさ不問）を巻いて不燃ごみの日に出す。
傘（骨組が金属製のもの）,家庭金物,傘布・ビニールは外す。外せない場合は、5本まで指定ごみ袋（大きさ不問）を巻いて不燃ごみの日に出す。
加湿器,小型家電,50センチメートル以上は粗大ごみ。
菓子の缶（金属製のフタを含む）,スチール缶,中身を空にして汚れを落とす。
菓子の箱（紙製）,ミックスペーパー,においや汚れが付いているものは燃やすごみ。
菓子の袋（プラスチック製）,容器包装プラスチック,容器包装プラスチックのマークを確認する。汚れを落とす。汚れが落ちなければ燃やすごみ。
ガステーブル,粗大ごみ,
ガスボンベ（プロパン）,収集不可,ページ下部「市では収集・処理できないもの」をご参照ください。
カセットガスボンベ（フタ）,容器包装プラスチック,容器包装プラスチックのマークを確認する。
カセットガスボンベ（本体）,危険有害ごみ,中身を空にして安全な場所で安全な道具で穴を開ける。
カセット式ガスコンロ（卓上コンロ）,家庭金物,カセットボンベは危険有害ごみ。
カセットテープ,燃やすごみ,なるべく拠点回収へ。
ガソリン携行缶,不燃ごみ,50センチメートル以上は粗大ごみ。
カタログ,雑誌,
カッターの刃,不燃ごみ,紙に包み指定ごみ袋に入れ「キケン」と表示する。
カップ（金属製）,家庭金物,
カップめんのフタ,燃やすごみ,
カップめんの容器（紙製）,燃やすごみ,
カップめんの容器（プラスチック製）,容器包装プラスチック,容器包装プラスチックのマークを確認する。汚れを落とす。汚れが落ちなければ燃やすごみ。
かなづち,不燃ごみ,
カバン（革・布・ビニール製など）,燃やすごみ,
カバンの詰め物,燃やすごみ,
画びょう,不燃ごみ,紙に包み指定ほみ袋に入れ「キケン」と表示する。
花瓶（金属製）,家庭金物,50センチメートル以上は粗大ごみ。
花瓶（せともの製・ガラス製）,不燃ごみ,50センチメートル以上は粗大ごみ。
壁紙,燃やすごみ,1メートル未満に切断して、指定ごみ袋に入れて口が結べれば燃やすごみ。※事業系廃棄物はステーションには出せません。
カマ（草刈用）,不燃ごみ,紙に包み指定ごみ袋に入れ「キケン」と表示する。
紙おむつ,燃やすごみ,汚物はトイレに流す。紙おむつ（ペット用を除く）のみを分ければ無料で出せる。
紙コップ,燃やすごみ,
紙皿,燃やすごみ,
カミソリ（鉄製の使い捨て）,不燃ごみ,紙に包み指定ごみ袋に入れ「キケン」と表示する。
カミソリ（プラスチック製の使い捨て）,燃やすごみ,紙に包み指定ごみ袋に入れ「キケン」と表示する。
カミソリの刃,不燃ごみ,紙に包み指定ごみ袋に入れ「キケン」と表示する。
神棚,粗大ごみ,1メートル以上は大型粗大ごみ。
紙粘土,燃やすごみ,
紙パック（牛乳・ジュースなどの内側が白いもの）,飲料用紙パック,内側が銀色など紙パックマークのないものは燃やすごみ。
紙袋,ミックスペーパー,ミックスペーパーを出す際の袋としても使用可。
紙やすり,燃やすごみ,
カメラ,小型家電,使い捨てカメラは燃やすごみ。なるべく小型家電専用回収ボックスへ。
画用紙,ミックスペーパー,クレヨン、油性ペンで書いたものは燃やすごみ。
カラーボックス,粗大ごみ,
カラオケ演奏装置,小型家電,50センチメートル以上は粗大ごみ。
ガラス,不燃ごみ,紙に包み指定ごみ袋にいれ「キケン」と表示する。指定ごみ袋に入らない場合は粗大ごみ（2メートル以内に限る）。
ガラスクリーナー（スプレー缶）,危険有害ごみ,中身を空にして安全な場所で安全な道具で穴を開ける。
ガラス製品（コップ・食器等）,不燃ごみ,割れたものは紙に包み指定ごみ袋に入れ「キケン」と表示する。
刈り込みばさみ,不燃ごみ,紙に包み指定ごみ袋に入れ「キケン」と表示する。
軽石,不燃ごみ,
枯葉,草・葉・植木,1度に3袋まで。
カレンダー,ミックスペーパー,金属部分は不燃ごみ。
革製品,燃やすごみ,
瓦,収集不可,ページ下部「市では収集・処理できないもの」をご参照ください。
缶（飲食用）※アルミ製,アルミ缶,中身を空にして汚れを落とす。汚れているものは不燃ごみ。
缶（飲食用）※スチール製,スチール缶,中身を空にして汚れを落とす。汚れているものは不燃ごみ。
缶（飲食用以外）,家庭金物,中身を空にして汚れを落とす。汚れているものは不燃ごみ。
換気扇（レンジフードファン）,不燃ごみ,50センチメートル以上は粗大ごみ。
缶切（金属製）,家庭金物,
緩衝材（発泡スチロールなど）,容器包装プラスチック,
乾燥剤,燃やすごみ,
乾電池（アルカリ・マンガン）,危険有害ごみ,拠点回収にも出せる。
感熱紙,燃やすごみ,
感熱性発泡紙,燃やすごみ,
品名,種別,留意点等
木（植木）（直径15センチメートル未満）,草・葉・植木,長さ1メートル以内にして束ねる。1度に3束まで。
木（植木）（直径15センチメートル以上20センチメートル未満）,草・葉・植木,長さ80センチメートル以内にして束ねる。1度に3束まで。
木（植木）（直径20センチメートル以上30センチメートル未満）,草・葉・植木,長さ30センチメートル以内にして束ねる。1度に3束まで。
木（植木）（直径30センチメートル以上）,粗大ごみ,
木（木材・木片）（直径3センチメートル未満）,燃やすごみ,長さ50センチメートル以内にして束ねる。1度に3束まで。
